sale_id,retailer_id,product_id,sale_date,quantity_sold,unit_selling_price,gross_sale_value,discount_amount,net_sale_value,promotion_id,payment_method,distribution_channel,invoice_number
33,3301,118,2024-08-15,2878,195.0,561210.0,0.0,561210.0,,Cash,Wholesale Distributor,INV-249957-6155
51,3059,155,2024-08-21,2312,20.0,46240.0,0.0,46240.0,,Cheque,Wholesale Distributor,INV-967296-9697
63,3366,150,2024-08-15,196,150.0,29400.0,0.0,29400.0,,Credit,E-commerce,INV-244795-4651
66,3490,147,2024-08-21,513,280.0,143640.0,0.0,143640.0,,UPI,Modern Trade,INV-923099-1948
91,3308,140,2024-08-27,1622,95.0,154090.0,0.0,154090.0,,Cheque,Modern Trade,INV-002341-9521
107,3369,104,2024-08-14,185,18.0,3330.0,0.0,3330.0,,Credit,Modern Trade,INV-973274-4799
123,3139,115,2024-08-06,549,20.0,10980.0,0.0,10980.0,,Cash,Modern Trade,INV-945971-7638
194,3238,121,2024-08-28,21,160.0,3360.0,0.0,3360.0,,Cheque,General Trade,INV-654296-5192
319,3290,157,2024-08-08,1157,30.0,34710.0,0.0,34710.0,,Cheque,E-commerce,INV-867210-1118
324,3212,126,2024-08-14,26,650.0,16900.0,0.0,16900.0,,Bank Transfer,General Trade,INV-428034-4256
329,3132,118,2024-08-02,25,195.0,4875.0,0.0,4875.0,,UPI,General Trade,INV-825671-4731
376,3180,160,2024-08-29,2339,45.0,105255.0,0.0,105255.0,,UPI,Wholesale Distributor,INV-287626-8507
404,3482,138,2024-08-03,159,120.0,19080.0,0.0,19080.0,,Credit,General Trade,INV-598519-8889
436,3346,111,2024-08-17,74,450.0,33300.0,0.0,33300.0,,Credit,General Trade,INV-234943-8053
448,3127,121,2024-08-26,2795,160.0,447200.0,0.0,447200.0,,Credit,Wholesale Distributor,INV-768370-5989
459,3061,131,2024-08-26,1871,170.0,318070.0,0.0,318070.0,,UPI,Modern Trade,INV-797283-2035
486,3410,123,2024-08-16,455,60.0,27300.0,0.0,27300.0,,Bank Transfer,Modern Trade,INV-793880-0641
518,3029,130,2024-08-09,512,90.0,46080.0,0.0,46080.0,,Credit,E-commerce,INV-940913-4744
563,3168,145,2024-08-18,992,250.0,248000.0,0.0,248000.0,,Cash,Wholesale Distributor,INV-172218-9441
625,3107,120,2024-08-10,772,20.0,15440.0,0.0,15440.0,,Bank Transfer,E-commerce,INV-572390-8574
641,3426,124,2024-08-07,2526,180.0,454680.0,0.0,454680.0,,Cash,Wholesale Distributor,INV-700497-7090
708,3493,160,2024-08-19,1061,45.0,47745.0,0.0,47745.0,,Bank Transfer,Modern Trade,INV-465678-2643
712,3201,150,2024-08-09,1784,150.0,267600.0,0.0,267600.0,,Cash,E-commerce,INV-482204-7498
723,3473,157,2024-08-08,745,30.0,22350.0,0.0,22350.0,,Cash,Modern Trade,INV-096511-0419
728,3117,162,2024-08-25,197,300.0,59100.0,0.0,59100.0,,Bank Transfer,General Trade,INV-694561-2905
